"X","cig_tax","female_leg","liberal","dem_gov","healthspendpc","state","year"
1357,2.07192,21.7,25.34254,1,7.11,"New Jersey",2007
1358,0.912176,30.4,24.482239,1,5.874,"New Mexico",2007
1359,1.25858,24.1,27.595159,1,7.722,"New York",2007
1360,0.373931,25.9,17.02097,1,6.01,"North Carolina",2007
1361,0.449596,17.7,16.248503,0,7.044,"North Dakota",2007
1362,1.26386,15.9,20.507009,1,6.556,"Ohio",2007
1363,1.1629,12.8,15.003841,1,6.006,"Oklahoma",2007
1364,1.08615,31.1,25.574529,1,5.998,"Oregon",2007
1365,1.23801,14.6,21.690604,1,7.207,"Pennsylvania",2007
1366,2.07912,19.5,27.135691,0,7.659,"Rhode Island",2007
1367,0.076258,8.8,16.445799,0,5.885,"South Carolina",2007
1368,0.539631,17.1,16.728468,0,6.388,"South Dakota",2007
1369,0.218611,16.7,15.017709,1,6.155,"Tennessee",2007
1370,1.58496,19.3,17.285168,0,5.432,"Texas",2007
1371,0.648081,17.3,18.781104,0,4.664,"Utah",2007
1372,1.56327,37.8,28.666879,0,7.086,"Vermont",2007
1373,0.307746,17.1,17.991289,1,5.773,"Virginia",2007
1374,1.80587,34,25.909414,1,6.08,"Washington",2007
1375,0.618556,14.2,15.437813,1,7.285,"West Virginia",2007
1376,0.762918,22.7,21.095333,1,6.85,"Wisconsin",2007
1377,0.598572,NA,16.699304,1,6.482,"Wyoming",2007
1378,0.453012,12.9,15.253818,0,6.106,"Alabama",2008
1379,1.76065,21.7,18.384276,0,8.676,"Alaska",2008
1380,1.8978,34.4,21.11327,1,5.326,"Arizona",2008
1381,0.641909,20.7,14.895901,1,5.966,"Arkansas",2008
1382,0.701913,27.5,30.885824,0,6.024,"California",2008
1383,0.721605,36,26.223961,1,5.825,"Colorado",2008
1384,1.54237,28.3,27.562492,0,8.26,"Connecticut",2008
1385,1.10341,30.6,54.569253,1,8.111,"Delaware",2008
1386,NA,NA,25.591323,NA,9.835,"District of Columbia",2008
1387,0.350876,23.1,20.077011,0,6.848,"Florida",2008
1388,0.379258,19.9,19.019586,0,5.321,"Georgia",2008
1389,1.2835,32.9,38.022516,0,6.608,"Hawaii",2008
1390,0.551203,23.8,16.689152,0,5.496,"Idaho",2008
1391,0.915495,27.1,26.939893,1,6.52,"Illinois",2008
1392,0.977535,18.7,20.012125,0,6.435,"Indiana",2008
1393,1.34484,22.7,21.229518,1,6.618,"Iowa",2008
1394,0.777683,29.1,16.543854,1,6.567,"Kansas",2008
1395,0.319239,13,15.533074,1,6.314,"Kentucky",2008
1396,0.382071,15.3,15.925508,0,6.583,"Louisiana",2008
1397,1.7364,31.2,24.15701,1,8.103,"Maine",2008
1398,1.8962,31.4,27.999395,1,7.205,"Maryland",2008
1399,1.14234,25,29.675629,1,8.926,"Massachusetts",2008
1400,1.91403,19.6,23.427641,1,6.357,"Michigan",2008
1401,1.15054,34.8,22.176334,0,7.133,"Minnesota",2008
1402,0.196836,14.4,17.498363,0,6.348,"Mississippi",2008
1403,0.167713,20.3,19.384616,0,6.624,"Missouri",2008
